Order_ID,Order_Date,Platform,Customer_ID,Product,Price,Quantity,Discount,Revenue,Country
97ff10e5,2024-03-13,Amazon,699a93,Monitor,1348.37,4,0.2,4314.78,Vanuatu
a1bdb965,2024-03-27,Shopify,ef709f,Laptop,470.25,2,0.24,714.78,Korea
33476109,2024-03-07,Shopify,f16a8e,Camera,481.09,2,0.16,808.23,Zambia
219d2126,2024-04-25,eBay,d648fc,Headphones,1471.96,3,0.2,3532.7,Reunion
bcb14b50,2024-07-19,Amazon,fe1010,Monitor,1025.57,1,0.28,738.41,Western Sahara
d8db794c,2024-07-18,eBay,ed73f9,Headphones,859.55,4,0.19,2784.94,Liechtenstein
3148c5c4,2024-04-10,eBay,ea3ead,Monitor,379.95,3,0.11,1014.47,Sri Lanka
9cbe694a,2024-08-03,eBay,e0f853,Tablet,415.68,1,0.13,361.64,Pakistan
2a650502,2024-11-21,eBay,ea6c51,Laptop,70.58,3,0.26,156.69,Samoa
ef755bca,2024-08-05,eBay,6f4e53,Monitor,228.28,1,0.04,219.15,Greece
95741996,2024-09-13,eBay,caf840,Tablet,1135.84,1,0.1,1022.26,Mongolia
6a5b0e42,2024-09-26,eBay,946551,Smartwatch,1789.15,4,0.17,5939.98,Faroe Islands
0e376a20,2024-12-23,Amazon,e35704,Tablet,609.97,1,0.2,487.98,Italy
07284373,2024-05-29,Shopify,4145cd,Smartphone,689.11,2,0.23,1061.23,American Samoa
8a611c75,2024-04-08,eBay,84f473,Monitor,275.43,4,0.1,991.55,Nauru
71c697b2,2024-05-28,eBay,7535bb,Tablet,807.83,2,0.04,1551.03,Anguilla
9b3faaae,2024-07-31,eBay,8d188a,Headphones,122.58,3,0.29,261.1,Guyana
394ceb8c,2024-10-05,eBay,730ce7,Smartwatch,1839.32,3,0.02,5407.6,Sweden
9002a759,2024-03-29,eBay,6cb5df,Camera,1362.57,1,0.03,1321.69,Gibraltar
7a7e6043,2024-12-25,eBay,df3679,Monitor,1981.96,1,0.15,1684.67,Bahrain
d7be2485,2024-12-01,Shopify,25acab,Smartphone,1771.51,2,0.25,2657.26,Japan
6f1c9262,2024-08-04,Shopify,321b65,Camera,972.33,2,0.23,1497.39,Maldives
6fd19da1,2024-05-31,eBay,5538b1,Tablet,1063.39,2,0.28,1531.28,British Virgin Islands
8a3e433e,2024-12-15,Shopify,62aec6,Camera,421.62,3,0.04,1214.27,Heard Island and McDonald Islands
a38583fb,2024-06-20,Amazon,571f07,Camera,950.98,2,0.11,1692.74,British Indian Ocean Territory (Chagos Archipelago)
78a67460,2024-11-08,eBay,2aaac6,Smartwatch,1810.9,4,0.08,6664.11,Equatorial Guinea
0c24dc07,2024-03-28,Amazon,e5f293,Camera,149.16,4,0.26,441.51,Lithuania
81bfd0b7,2024-02-16,Amazon,707fbf,Camera,1733.94,3,0.15,4421.55,Italy
0bb5d446,2024-12-14,eBay,fecbf5,Monitor,714.85,2,0.01,1415.4,Georgia
9167a1fe,2024-02-07,Shopify,d0c26f,Smartwatch,1804.05,2,0.21,2850.4,Cameroon
8b60a810,2024-10-01,Amazon,3cf53f,Smartphone,1884.72,1,0.12,1658.55,Paraguay
43c3e391,2024-10-26,eBay,c3c5aa,Tablet,1358.19,4,0.16,4563.52,Western Sahara
e6010948,2024-12-15,Amazon,70e604,Smartwatch,1345.63,3,0.27,2946.93,Solomon Islands
1ef4e132,2024-07-15,Amazon,e4c5d5,Smartwatch,932.87,2,0.08,1716.48,United Kingdom
28aa05e0,2024-08-03,Amazon,df8dcb,Laptop,1679.3,1,0.07,1561.75,Guinea-Bissau
b3f21470,2024-02-09,Amazon,4c44d6,Smartwatch,1925.14,3,0.08,5313.39,Guinea
3dad7c9e,2024-05-14,Shopify,f746dc,Laptop,1561.41,3,0.1,4215.81,Bosnia and Herzegovina
9fe57713,2024-04-27,Amazon,0f3cf4,Tablet,1262.78,4,0.03,4899.59,Bangladesh
c0c9b4f7,2024-03-12,Amazon,71cf45,Camera,1233.25,2,0.21,1948.54,India
7c263bd6,2025-01-22,Amazon,e33941,Monitor,1706.47,3,0.06,4812.25,Germany
cb4ce55e,2024-03-19,Shopify,b191eb,Monitor,1105.35,1,0.28,795.85,Suriname
287af76f,2024-03-23,Amazon,0bf94a,Tablet,1617.53,1,0.06,1520.48,Belgium
5d9a5835,2024-11-24,Amazon,d9831c,Tablet,1042.33,3,0.08,2876.83,Mali
e3ab077b,2024-03-28,Shopify,d0b26d,Headphones,171.77,1,0.09,156.31,Ghana
3500b35a,2025-01-30,Shopify,252bca,Camera,798.7,3,0.23,1845.0,Iran
2f7fd546,2024-03-11,Shopify,79bf8d,Tablet,916.66,1,0.13,797.49,Egypt
95e21a63,2024-04-17,Amazon,3c3843,Smartwatch,326.15,3,0.25,733.84,Guernsey
a2be11c0,2024-05-01,Shopify,7adfdf,Monitor,249.87,3,0.24,569.7,Western Sahara
9e3b80cf,2024-07-16,Shopify,a319a1,Smartphone,1094.16,3,0.28,2363.39,Costa Rica
838a0e27,2024-06-19,Amazon,9f09ff,Monitor,216.03,1,0.23,166.34,Grenada
ae620935,2025-01-13,Shopify,ece58e,Laptop,640.74,3,0.02,1883.78,Equatorial Guinea
3b00ad85,2024-06-06,Amazon,a3294e,Monitor,1501.96,4,0.25,4505.88,Pitcairn Islands
100d5a98,2024-12-23,eBay,f6b193,Headphones,1930.64,3,0.28,4170.18,Libyan Arab Jamahiriya
3befdec2,2024-09-05,Shopify,bd9d97,Camera,1449.85,2,0.3,2029.79,Norway
d56dffa3,2024-10-11,eBay,f03b70,Tablet,1985.62,2,0.04,3812.39,Uganda
47161646,2024-04-15,Amazon,567db5,Camera,1411.76,4,0.18,4630.57,Samoa
255b0abe,2024-12-09,Shopify,651f70,Tablet,622.9,3,0.06,1756.58,Nepal
b42491f0,2024-05-22,Amazon,a06a6f,Monitor,1360.5,2,0.08,2503.32,Falkland Islands (Malvinas)
dc7dcb63,2024-02-06,eBay,c5dc04,Smartphone,1419.21,3,0.22,3320.95,Kiribati
ac5581d4,2024-12-01,Amazon,309e3a,Smartphone,774.87,2,0.29,1100.32,Equatorial Guinea
6fe9684d,2025-01-25,Shopify,f77b46,Headphones,84.54,1,0.18,69.32,South Georgia and the South Sandwich Islands
c69fbded,2024-07-06,Shopify,71b630,Laptop,1421.24,1,0.26,1051.72,Saudi Arabia
b9ed5cc6,2024-09-23,eBay,0cef39,Monitor,92.32,4,0.0,369.28,Algeria
1890635d,2024-04-08,Amazon,8a9e91,Tablet,1280.82,4,0.01,5072.05,Andorra
bcad4f7a,2024-08-23,Shopify,138c4a,Monitor,369.05,3,0.18,907.86,Guam
00860f5d,2024-02-08,eBay,782208,Headphones,1152.93,4,0.12,4058.31,Serbia
5fb25c91,2024-08-09,Shopify,f34eba,Smartwatch,1032.63,3,0.27,2261.46,Mayotte
751ed6c8,2024-08-04,Shopify,7754da,Smartwatch,76.35,1,0.09,69.48,Gibraltar
9c9249dc,2024-03-14,Amazon,10a77c,Headphones,757.59,1,0.13,659.1,China
b4afa89b,2024-11-23,Shopify,16ceff,Tablet,1222.13,2,0.16,2053.18,Anguilla
482e16a1,2024-03-09,Amazon,4faa49,Camera,1704.78,3,0.08,4705.19,Uzbekistan
153f9504,2024-06-01,Shopify,6a67c5,Headphones,1782.85,1,0.27,1301.48,French Guiana
66a4e512,2024-08-21,eBay,4396c8,Tablet,993.51,1,0.14,854.42,Palau
8e3e83b6,2024-06-23,Shopify,812afd,Smartphone,1470.42,3,0.13,3837.8,Norway
d0d25b9a,2024-09-25,Amazon,163646,Headphones,667.09,2,0.25,1000.64,Spain
2c3552ec,2024-08-14,Amazon,6e14ce,Tablet,717.26,2,0.09,1305.41,Grenada
21064bd6,2025-01-02,eBay,d0451d,Headphones,429.2,2,0.25,643.8,Cayman Islands
384828b4,2024-04-15,Shopify,da28d7,Headphones,1145.8,2,0.04,2199.94,Guam
11722275,2024-06-17,Shopify,017c71,Camera,663.4,1,0.05,630.23,Namibia
cb05d363,2024-03-15,eBay,ee0c4a,Camera,214.52,3,0.29,456.93,Turks and Caicos Islands
f5e81e48,2024-08-15,Shopify,1390a6,Tablet,1385.76,3,0.25,3117.96,Djibouti
fb6eb5e1,2024-07-20,Shopify,528e72,Tablet,1430.12,1,0.12,1258.51,Iceland
c3bc25df,2024-11-03,Amazon,f4757e,Laptop,751.99,1,0.19,609.11,Greenland
345a02b0,2024-07-23,Shopify,03a0a6,Headphones,199.61,1,0.28,143.72,Seychelles
2b4a08bf,2024-04-02,Shopify,4a9258,Smartwatch,881.28,4,0.06,3313.61,Nauru
2f0ec468,2024-06-22,eBay,348393,Headphones,912.55,3,0.02,2682.9,Cocos (Keeling) Islands
b370ef3e,2025-01-09,eBay,a5c071,Headphones,1353.91,3,0.16,3411.85,Luxembourg
2390dd01,2024-04-24,Amazon,340c92,Tablet,665.06,3,0.04,1915.37,Bahrain
b5002454,2024-10-25,Shopify,d58907,Headphones,1381.07,2,0.06,2596.41,Kuwait
c6f54e09,2025-01-14,Shopify,b17223,Monitor,1749.4,1,0.27,1277.06,Kuwait
2c75324c,2024-05-04,Shopify,fa1c08,Headphones,513.1,1,0.0,513.1,Georgia
1bd6d6c9,2024-06-27,Amazon,a43742,Monitor,1958.89,1,0.25,1469.17,Colombia
26577fcc,2024-10-04,Amazon,c91d0a,Camera,803.42,4,0.16,2699.49,Norway
8670957d,2025-01-19,eBay,067669,Smartwatch,571.15,3,0.17,1422.16,Sao Tome and Principe
0f11983b,2024-03-27,Amazon,369787,Tablet,871.95,1,0.2,697.56,Moldova
fa225505,2024-12-31,Shopify,af27ec,Headphones,234.08,4,0.13,814.6,French Guiana
579f9af6,2024-08-30,Shopify,e725d1,Monitor,295.13,1,0.03,286.28,Venezuela
d18b2e4d,2024-02-04,Amazon,2a1858,Monitor,858.15,2,0.03,1664.81,Timor-Leste
e3159435,2024-07-04,Shopify,4ed344,Camera,1536.77,3,0.23,3549.94,Latvia
14cdf2b9,2024-08-23,Shopify,a081d8,Monitor,1805.61,4,0.07,6716.87,Congo
01b9c084,2024-09-01,Amazon,fda9bc,Smartphone,1346.4,1,0.01,1332.94,Thailand
13913d8e,2024-07-09,Amazon,04f788,Laptop,255.18,3,0.29,543.53,Congo
a004d64d,2024-09-03,Shopify,cc7de9,Smartwatch,1360.44,4,0.29,3863.65,Peru
58bbb9ee,2024-11-20,Shopify,a45669,Camera,1289.08,3,0.11,3441.84,Bulgaria
571bf709,2024-04-12,Shopify,727962,Camera,1621.24,3,0.01,4815.08,Egypt
47dca845,2024-02-22,eBay,847439,Headphones,1659.23,2,0.22,2588.4,Tokelau
7cb5ce25,2024-12-17,eBay,d75635,Smartphone,1743.0,3,0.25,3921.75,Mauritania
c04ac196,2024-04-25,eBay,976aca,Headphones,857.56,4,0.04,3293.03,Togo
8e8f1499,2024-06-26,Amazon,faf5e4,Headphones,1410.84,3,0.04,4063.22,Falkland Islands (Malvinas)
9dcc7695,2024-03-10,eBay,64abdd,Tablet,573.09,4,0.25,1719.27,Estonia
c05d74f5,2024-04-05,Amazon,ff6615,Tablet,1998.71,3,0.28,4317.21,Mali
81ea07e2,2024-12-07,Amazon,5765ce,Tablet,391.9,1,0.24,297.84,Israel
338288e8,2024-12-24,eBay,01a34d,Smartphone,69.72,2,0.06,131.07,Aruba
4befc6d4,2024-12-13,eBay,384f4e,Headphones,340.18,1,0.12,299.36,China
0cca2ba9,2024-09-12,eBay,3d49e0,Laptop,1562.95,2,0.18,2563.24,Montenegro
ec9cda1b,2024-04-07,Shopify,7a2c59,Smartwatch,921.23,4,0.05,3500.67,Swaziland
84656394,2024-10-21,eBay,a570da,Tablet,922.63,2,0.06,1734.54,Hong Kong
c1c107c1,2024-05-03,Shopify,b3d51b,Tablet,1912.29,3,0.08,5277.92,France
9fe16e50,2024-10-16,Amazon,de88d0,Camera,1843.29,3,0.15,4700.39,Slovenia
24c6c893,2024-05-17,Shopify,15cab6,Headphones,656.83,1,0.15,558.31,Ukraine
6dd55984,2025-01-25,eBay,1e18c2,Headphones,457.66,2,0.24,695.64,French Southern Territories
b3daa55b,2024-03-16,Amazon,426e00,Smartphone,1704.54,4,0.23,5249.98,Comoros
1b2a082f,2024-08-27,Amazon,efaf77,Smartphone,1816.74,4,0.27,5304.88,Montserrat
32844142,2024-02-11,Amazon,185c21,Tablet,1106.11,3,0.25,2488.75,Guinea
43d1d59b,2024-10-19,Shopify,f0270e,Headphones,1277.38,4,0.08,4700.76,Ghana
17f883ed,2024-04-07,eBay,6e66bd,Laptop,550.98,3,0.1,1487.65,Angola
b73a9332,2024-08-07,Amazon,cead47,Smartwatch,1611.57,3,0.15,4109.5,Mozambique
4e8ca2b0,2024-06-24,Amazon,0ba442,Headphones,1282.64,3,0.0,3847.92,Iceland
dd9cc8d7,2024-08-13,Amazon,09f2a1,Camera,1031.85,1,0.27,753.25,Burkina Faso
d4915b2c,2024-05-28,Shopify,62a2fc,Headphones,167.21,1,0.01,165.54,Austria
0198b7be,2024-02-17,Shopify,70a6ae,Monitor,1836.07,3,0.1,4957.39,Yemen
0d90b9f2,2024-07-27,eBay,99610a,Smartphone,1250.13,3,0.17,3112.82,Liberia
c7cec682,2024-02-18,Shopify,694aa6,Camera,425.75,3,0.16,1072.89,Zambia
97629a53,2024-08-25,Amazon,b6aaef,Smartwatch,1232.45,4,0.2,3943.84,Guatemala
486e30b8,2024-04-10,eBay,efb56f,Tablet,1371.05,3,0.16,3455.05,Liberia
5cea8eab,2024-03-04,Amazon,bf90f5,Camera,1075.25,3,0.07,2999.95,Lithuania
f81026dd,2024-10-29,Amazon,ddb62d,Headphones,1450.3,2,0.06,2726.56,Tunisia
0756d237,2024-08-04,Shopify,62397f,Tablet,1183.84,2,0.27,1728.41,Ghana
4413053e,2024-09-27,eBay,9cbb11,Headphones,1898.15,2,0.08,3492.6,Saint Kitts and Nevis
c06d4333,2024-10-15,Shopify,ce8058,Tablet,154.71,2,0.08,284.67,Falkland Islands (Malvinas)
fb7e0c84,2024-09-18,Shopify,5ffbef,Smartwatch,257.18,3,0.12,678.96,Monaco
7d0314ec,2024-05-05,eBay,6c0a35,Smartphone,388.66,2,0.04,746.23,Canada
9692a83b,2025-01-24,Amazon,ff4c84,Smartwatch,1395.83,4,0.15,4745.82,New Caledonia
2f65ac53,2024-03-17,Amazon,75c630,Monitor,1308.91,4,0.2,4188.51,Antarctica (the territory South of 60 deg S)
716eea65,2025-01-06,eBay,d09f81,Laptop,1789.51,2,0.24,2720.06,Yemen
972957e9,2024-04-11,Amazon,621bc6,Smartphone,1479.11,1,0.21,1168.5,Micronesia
83c81840,2024-08-16,eBay,742566,Smartwatch,1041.29,4,0.04,3998.55,Heard Island and McDonald Islands
873d7683,2025-01-24,eBay,4fcdf8,Monitor,1984.07,4,0.14,6825.2,Panama
449e41c7,2024-03-13,Shopify,b9374d,Laptop,568.91,2,0.01,1126.44,Isle of Man
5c75faf6,2024-09-09,eBay,6f5e15,Monitor,1674.72,2,0.01,3315.95,North Macedonia
f1d5e319,2024-11-23,Shopify,eeeddc,Headphones,882.24,3,0.13,2302.65,Nauru
e0c73e21,2025-01-15,Amazon,ef10e9,Headphones,1315.03,4,0.08,4839.31,Netherlands Antilles
9f0099a0,2025-01-04,Amazon,b4e9d6,Tablet,1468.17,2,0.21,2319.71,Bolivia
0e1fc9b3,2024-06-26,Amazon,4c903f,Smartphone,1285.82,2,0.22,2005.88,Norway
8f974ae4,2024-07-19,Amazon,2f53aa,Headphones,323.99,3,0.27,709.54,Bouvet Island (Bouvetoya)
d8307aa4,2024-09-28,Shopify,5a01f6,Camera,913.75,4,0.23,2814.35,Panama
a0370465,2024-10-07,Amazon,187383,Monitor,1144.8,2,0.01,2266.7,Faroe Islands
0207e500,2024-12-04,eBay,6902fd,Smartphone,1705.64,3,0.11,4554.06,France
dd65b24a,2024-02-20,eBay,3ca512,Camera,915.11,2,0.08,1683.8,Brazil
124ac9dd,2024-09-08,eBay,e3585f,Headphones,1841.56,1,0.12,1620.57,Spain
afa150c2,2024-08-29,Shopify,463429,Tablet,908.73,1,0.05,863.29,Mayotte
77121c3d,2024-06-04,Amazon,9d1fa0,Smartwatch,1120.12,2,0.03,2173.03,Korea
c922d29e,2024-07-02,Amazon,ca7785,Tablet,1602.76,4,0.16,5385.27,Tonga
e3b27278,2025-01-07,Amazon,b917a8,Camera,1186.98,1,0.22,925.84,Guinea-Bissau
20a5b640,2025-01-07,Shopify,2bd6f2,Laptop,1922.43,3,0.21,4556.16,Iran
5d6fdf19,2024-03-03,eBay,748842,Headphones,1337.65,2,0.14,2300.76,El Salvador
63ca4db2,2025-02-02,eBay,73ce2f,Camera,1069.28,3,0.16,2694.59,Norfolk Island
84d72214,2024-06-17,Amazon,da5b03,Laptop,96.0,1,0.15,81.6,Falkland Islands (Malvinas)
100587bd,2024-05-29,eBay,7c9827,Laptop,856.78,4,0.21,2707.42,Denmark
08d895cd,2024-08-06,eBay,749f64,Monitor,633.53,3,0.01,1881.58,Israel
d3f992c7,2024-02-28,Shopify,ee32df,Smartphone,1508.81,1,0.21,1191.96,Yemen
c7489d28,2024-10-28,Shopify,30aec0,Monitor,456.14,1,0.17,378.6,Norfolk Island
6e1c14bb,2024-08-24,Shopify,415038,Headphones,450.18,1,0.06,423.17,Guam
e97fc1be,2025-01-18,Shopify,ae3c1f,Laptop,419.56,3,0.01,1246.09,Congo
48af566f,2024-09-13,Amazon,acc564,Camera,294.95,1,0.03,286.1,Ecuador
4d292f9d,2024-05-29,Shopify,3df459,Smartwatch,656.46,2,0.16,1102.85,Belize
e5f773ce,2024-05-24,eBay,bcbde4,Laptop,1777.55,1,0.23,1368.71,Malta
8eaf6486,2024-11-02,Amazon,6df481,Camera,1561.11,2,0.1,2810.0,Sri Lanka
57fdde44,2024-11-19,eBay,bba261,Smartwatch,1483.74,4,0.11,5282.11,Syrian Arab Republic
ed8d4214,2024-05-09,eBay,2c6338,Monitor,1604.81,2,0.28,2310.93,Serbia
e04c4e5b,2024-02-21,eBay,a93e7c,Monitor,575.36,4,0.06,2163.35,Tunisia
4a3078a6,2024-11-21,Shopify,838e48,Smartphone,1780.51,4,0.03,6908.38,French Guiana
e00ed917,2024-07-18,Shopify,f03770,Camera,317.74,2,0.1,571.93,Saint Barthelemy
3afd990f,2024-08-31,Amazon,1bd98c,Laptop,705.87,4,0.22,2202.31,Philippines
ebaa1d0d,2024-10-31,Amazon,f823a3,Tablet,1194.16,2,0.19,1934.54,Benin
1dc61751,2024-06-12,Shopify,f0b197,Monitor,250.66,3,0.12,661.74,Tuvalu
b65ef4c4,2024-08-21,eBay,75ca28,Monitor,1473.75,4,0.29,4185.45,Mongolia
4c5232b2,2024-07-31,Amazon,2e61e1,Smartphone,805.13,2,0.22,1256.0,Vanuatu
d7c889cb,2024-03-02,Shopify,0092a5,Smartwatch,1579.59,4,0.02,6191.99,Iran
6881f739,2024-07-19,Shopify,90e53a,Smartphone,1011.15,1,0.22,788.7,French Guiana
d6041a02,2024-03-11,Shopify,cf4445,Laptop,402.71,2,0.01,797.37,Hong Kong
7f7a5585,2024-03-12,eBay,e5cdfd,Camera,1482.79,1,0.2,1186.23,Mali
b03c922d,2024-07-13,Shopify,4ff759,Headphones,541.68,4,0.06,2036.72,Burundi
51f494c2,2024-12-25,Shopify,d5ea3f,Headphones,1007.08,4,0.21,3182.37,Micronesia
8a2d9594,2025-01-17,Shopify,eb6003,Camera,197.29,3,0.09,538.6,Jersey
7cfef908,2024-10-25,Shopify,cbba29,Smartwatch,1254.84,2,0.26,1857.16,New Zealand
695d9958,2024-06-26,Amazon,15df7c,Monitor,1348.42,1,0.1,1213.58,France
e1a02199,2024-07-14,Amazon,3a8dff,Smartwatch,788.41,3,0.19,1915.84,Rwanda
82e413e2,2024-11-28,Shopify,7e977e,Monitor,1911.12,4,0.09,6956.48,Gibraltar
b987d53f,2025-01-26,eBay,65d625,Monitor,1754.63,4,0.28,5053.33,Taiwan
b070194d,2024-03-14,Amazon,933d44,Headphones,1430.48,3,0.23,3304.41,Tonga
a0439c90,2024-11-22,Shopify,853542,Smartwatch,1441.62,1,0.07,1340.71,Moldova
c307c1cc,2024-03-12,Amazon,ff582b,Smartphone,542.18,4,0.28,1561.48,Solomon Islands
dfd2bc0b,2025-01-08,Amazon,859621,Monitor,1330.79,4,0.11,4737.61,Niue
90c98459,2025-01-02,eBay,18b113,Tablet,436.5,2,0.2,698.4,Finland
64a06995,2024-07-18,Shopify,66f52f,Tablet,330.81,3,0.22,774.1,Vanuatu
00e6ee9e,2025-01-28,Shopify,a5b408,Smartphone,1998.96,4,0.01,7915.88,Western Sahara
192702ed,2024-06-29,eBay,47de4b,Tablet,1263.63,1,0.29,897.18,Timor-Leste
849737fd,2024-06-17,eBay,28f1e2,Laptop,890.43,2,0.1,1602.77,New Zealand
7d237c4e,2024-02-10,Shopify,51f06f,Monitor,611.92,3,0.06,1725.61,Ireland
51e9120d,2024-09-16,Shopify,dcaa69,Smartphone,1227.64,1,0.26,908.45,Namibia
b57ab53c,2024-11-08,eBay,6c7bbe,Smartwatch,146.71,4,0.21,463.6,Saudi Arabia
3b0122d5,2024-04-18,Amazon,e38659,Monitor,234.63,3,0.03,682.77,Morocco
5632574c,2024-08-26,Amazon,a7ad68,Smartphone,114.07,3,0.04,328.52,Jersey
7d8dc9c8,2024-02-16,eBay,4894f3,Headphones,1023.38,1,0.21,808.47,Jordan
438e0138,2024-05-19,Amazon,b3b4c6,Smartwatch,1221.18,3,0.02,3590.27,Sweden
5c021c6a,2024-04-05,eBay,0161fc,Headphones,171.84,1,0.28,123.72,Armenia
6a7a7271,2024-12-01,Amazon,64e619,Monitor,1456.39,4,0.22,4543.94,Ukraine
eb96996a,2024-10-22,Amazon,897a4c,Smartwatch,499.27,2,0.1,898.69,Netherlands
2d47af62,2024-04-20,Shopify,7917de,Tablet,1386.14,1,0.11,1233.66,Liechtenstein
